ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
100,4,Fathers,1,2,1,3,17,16,13,12,18,9,4,6,14,7,15,10,5,8,11,6,2,2,2,2,5,5,4,7,5,5,NC,Clayton,19,2,,1,,5,,5e5e9f949ec7440200735db7
101,4,Mothers,0,18,17,16,3,4,5,10,7,1,15,13,6,14,9,2,12,11,8,7,3,1,2,4,2,5,2,7,1,1,New Mexico,Ruidoso,46,1,,1,,5,,5be87ae193ca1f00014dae06
102,4,Fathers,1,1,7,2,15,18,16,17,12,10,3,5,13,4,11,8,6,9,14,7,2,6,3,6,5,7,5,6,6,6,PA,,43,1,,1,,6,,5c55c0e354f9d30001db6d22
103,4,Mothers,0,18,14,15,1,6,9,11,2,3,16,12,4,17,8,7,13,10,5,7,1,1,2,2,1,5,5,7,5,1,Wisconsin,Milwaukee,33,2,,1,,5,,5d4c92d7c6a3d60001173022
104,4,Fathers,1,7,9,3,11,6,4,18,16,13,5,15,12,2,14,10,1,17,8,4,3,1,1,1,2,4,7,7,3,5,MN,Minneapolis,26,2,,1,,5,,60fd50570dd4923fec4a6f50
105,4,Fathers,1,2,1,7,6,8,12,13,14,11,4,5,16,3,17,10,9,15,18,6,2,2,2,2,1,4,6,7,2,2,Iowa,Johnston,33,2,,1,,2,,5fa883c9bd81737431af4d49
106,4,Mothers,0,12,8,7,3,4,2,5,10,1,17,18,6,16,11,15,13,14,9,7,1,1,1,1,1,1,7,7,2,1,NY,NYC,25,2,,4,,5,,611d992c4eeb31ade622ee30
107,4,Mothers,0,12,10,11,2,3,1,4,9,7,18,13,5,14,6,16,15,17,8,3,4,5,5,5,5,6,5,5,6,6,FL,Jacksonville,42,1,,1,,5,,62dc24fa35bc6caa02048e3e
108,4,Mothers,0,15,16,17,1,6,3,9,2,7,14,13,5,18,8,11,10,12,4,7,1,1,1,1,1,1,4,7,1,1,California,Anaheim,40,2,,1,,5,,606b4092321de2bfbfa6b719
109,4,Fathers,1,4,3,1,11,10,16,12,15,17,7,8,13,2,14,9,5,6,18,3,5,2,2,2,4,6,7,7,5,2,NY,USA,25,2,,4,,6,N/A,5e1a5f747e18272d7de19f6c
110,4,Fathers,1,2,1,6,15,14,12,13,9,10,4,5,11,3,16,7,8,18,17,7,1,1,1,1,1,6,7,7,4,2,Florida,Naples,54,2,,1,,5,,5596ab22fdf99b2d3a68c840
111,1,Fathers,1,2,1,3,11,10,14,15,17,18,4,7,12,5,13,9,6,8,16,7,1,1,1,1,1,1,5,7,1,1,CA,San Francisco,29,2,,2,,4,,61451c5a5200c302a0b05b5e
112,4,Mothers,0,15,16,12,2,3,4,8,5,1,13,18,9,14,6,10,17,11,7,6,2,1,2,2,3,5,5,7,1,5,PA,Rimersburg,59,2,,1,,3,,5accce591667e40001d8c1e3
113,4,Fathers,1,1,3,2,10,11,9,18,14,8,5,16,7,6,12,4,17,13,15,6,3,2,7,6,2,1,7,7,6,4,nj,my own,41,1,,1,,3,,614e4fd76f0eba57eb18548b
114,4,Mothers,0,16,14,3,10,1,4,8,9,5,15,13,7,18,2,17,12,11,6,7,2,2,2,2,2,5,7,7,4,2,Maryland,Derwood,22,2,,1,,5,,610b57f552e3982da159f85f
115,4,Fathers,1,1,2,3,9,8,10,14,15,16,4,6,17,5,18,7,11,12,13,2,6,4,5,5,6,6,4,6,6,6,california,diamond bar,42,1,,4,,5,,627439e73b0f066c01b52365
116,4,Fathers,1,1,3,2,18,13,14,15,10,11,6,7,17,4,16,5,8,9,12,3,7,4,7,4,4,5,3,5,6,7,indiana,auburn,39,2,,1,,3,,5d5b4ffc1a12e70018ca1268
117,4,Mothers,0,17,16,14,4,2,8,6,1,5,12,13,3,18,7,15,10,11,9,6,4,1,3,1,2,3,6,7,1,4,Pennsylvania,Wyncote,21,1,,1,,3,,62fea1a6e376e1e8567d623c
118,4,Mothers,0,12,15,14,1,2,7,8,4,5,18,16,6,17,3,11,13,10,9,6,5,3,2,2,4,4,5,6,5,5,Florida ,Kissimmee ,18,1,,1,,1,,631fc3e54c3c0515402fdd17
119,4,Mothers,0,14,15,16,1,3,2,6,5,8,18,10,13,17,4,12,11,7,9,5,5,6,5,5,2,6,7,7,7,5,MD,Randallstown,27,1,,3,,3,,5d863f244d401800016ece02
120,4,Fathers,1,2,1,5,6,11,12,8,16,14,4,9,13,7,17,3,10,18,15,5,5,1,5,3,5,5,4,7,7,7,California,San Diego,44,2,,4,,5,,5723c21ca300060009bc6d9d
121,4,Mothers,0,18,17,16,1,4,3,5,9,7,12,15,8,13,10,2,14,11,6,7,1,1,1,1,4,4,7,7,4,4,MS,Canton,55,2,,"1,10",,8,,5b9f09697b196f000195e1ed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
